zip_code,area_numbe,community
60616,35,DOUGLAS
60653,36,OAKLAND
60609,37,FULLER PARK
60653,38,GRAND BOULEVARD
60615,39,KENWOOD
60625,4,LINCOLN SQUARE
60637,40,WASHINGTON PARK
60637,41,HYDE PARK
60637,42,WOODLAWN
60626,1,ROGERS PARK
60630,11,JEFFERSON PARK
60646,12,FOREST GLEN
60659,13,NORTH PARK
60625,14,ALBANY PARK
60641,15,PORTAGE PARK
60618,16,IRVING PARK
60634,17,DUNNING
60707,18,MONTCLARE
60639,19,BELMONT CRAGIN
60645,2,WEST RIDGE
60639,20,HERMOSA
60618,21,AVONDALE
60647,22,LOGAN SQUARE
60651,23,HUMBOLDT PARK
60622,24,WEST TOWN
60644,25,AUSTIN
60624,26,WEST GARFIELD PARK
60612,27,EAST GARFIELD PARK
60607,28,NEAR WEST SIDE
60623,29,NORTH LAWNDALE
60640,3,UPTOWN
60623,30,SOUTH LAWNDALE
60608,31,LOWER WEST SIDE
60616,33,NEAR SOUTH SIDE
60616,34,ARMOUR SQUARE
60631,10,NORWOOD PARK
60610,8,NEAR NORTH SIDE
60605,32,LOOP
60649,43,SOUTH SHORE
60619,44,CHATHAM
60619,45,AVALON PARK
60617,46,SOUTH CHICAGO
60619,47,BURNSIDE
60609,59,MCKINLEY PARK
60657,6,LAKE VIEW
60617,48,CALUMET HEIGHTS
60628,49,ROSELAND
60618,5,NORTH CENTER
60628,50,PULLMAN
60617,51,SOUTH DEERING
60617,52,EAST SIDE
60628,53,WEST PULLMAN
60827,54,RIVERDALE
60633,55,HEGEWISCH
60638,56,GARFIELD RIDGE
60632,57,ARCHER HEIGHTS
60632,58,BRIGHTON PARK
60608,60,BRIDGEPORT
60609,61,NEW CITY
60629,62,WEST ELSDON
60632,63,GAGE PARK
60638,64,CLEARING
60629,65,WEST LAWN
60629,66,CHICAGO LAWN
60636,67,WEST ENGLEWOOD
60621,68,ENGLEWOOD
60619,69,GREATER GRAND CROSSING
60614,7,LINCOLN PARK
60652,70,ASHBURN
60620,71,AUBURN GRESHAM
60643,72,BEVERLY
60643,73,WASHINGTON HEIGHTS
60655,74,MOUNT GREENWOOD
60643,75,MORGAN PARK
60666,76,OHARE
60660,77,EDGEWATER
60631,9,EDISON PARK
